Model,Device,Latency (ms),FLOPS (MFLOPS),RAM Usage (Mb),MMACS,Params (M),Params,MACS,Recall,Accuracy,FPR,FNR
qint-base_cp,cpu,14.399799998500384,0.022132,,1.580544,0.0,0,1580544.0,0.9490131578947368,0.9243421052631579,0.02642190152801358,0.05098684210526316
fp32-base,cpu,30.12410000519594,0.046588,,1821.798922,11.31041,11310410,1821798922.0,,,,
fp32-base,cuda,17.34662437438965,0.014244999999999999,141.34326171875,1821.798922,11.31041,11310410,1821798922.0,0.938770933014354,0.9226973684210527,0.023901740237691,0.06122906698564593
fp32-base_cp,cpu,24.17099999729544,0.03898,,263.08697,0.741642,741642,263086970.0,,,,
fp32-base_cp,cuda,6.27507209777832,0.019621,141.34326171875,263.08697,0.741642,741642,263086970.0,0.9350827352472089,0.9136513157894737,0.02307937181663837,0.06491726475279107
fp32-base_iterate,cpu,18.756800003757235,0.032639999999999995,,1057.347962,1.361034,1361034,1057347962.0,,,,
fp32-base_iterate,cuda,11.410431861877441,0.019252,141.34326171875,1057.347962,1.361034,1361034,1057347962.0,0.9572368421052632,0.9037828947368421,0.056080220713073003,0.04276315789473684
fp32-base_magn,cpu,29.259200004162267,0.040974,,1267.343746,7.778827,7778827,1267343746.0,,,,
fp32-base_magn,cuda,2.5406079292297363,0.012081999999999999,141.34326171875,1267.343746,7.778827,7778827,1267343746.0,0.9745564194577352,0.930921052631579,0.04615874363327674,0.02544358054226475
fp32-base_taylor,cpu,7.703200004471,0.015848,,54.017598,0.270438,270438,54017598.0,,,,
fp32-base_taylor,cuda,5.483520030975342,0.01145,141.34326171875,54.017598,0.270438,270438,54017598.0,0.9364035087719297,0.8963815789473685,0.050270585738539895,0.06359649122807016
fp32-base_tucker,cpu,23.77100000012433,0.041724,,385.22241,1.210186,1210186,385222410.0,,,,
fp32-base_tucker,cuda,13.699071884155273,0.029141999999999998,141.34326171875,385.22241,1.210186,1210186,385222410.0,0.9722388357256778,0.9169407894736842,0.06101443123938879,0.02776116427432217
qint-base,cpu,10.701899998821318,0.016968999999999998,,1.580544,0.0,0,1580544.0,0.9437051435406698,0.9300986842105263,0.02055921052631579,0.05629485645933014
qint-base_taylor,cpu,5.362199997762218,0.010645,,0.225204,0.0,0,225204.0,0.9469447767145136,0.8980263157894737,0.05684953310696095,0.053055223285486446
